date,actual_high,actual_low,actual_humidity,actual_maxpressurei,actual_minpressurei,actual_meanwdird,actual_meanwdire,actual_meanwindspdi,actual_meandewpti,actual_precipi,sw_humidity,sw_maxdewpti,sw_maxhumidity,sw_maxpressurei,sw_maxtempi,sw_maxwspdi,sw_meandewpti,sw_meantempi,sw_meanwdird,sw_meanwdire,sw_meanwindspdi,sw_mindewpti,sw_minhumidity,sw_minpressurei,sw_mintempi,sw_precipi,se_humidity,se_maxdewpti,se_maxhumidity,se_maxpressurei,se_maxtempi,se_maxwspdi,se_meandewpti,se_meantempi,se_meanwdird,se_meanwdire,se_meanwindspdi,se_mindewpti,se_minhumidity,se_minpressurei,se_mintempi,se_precipi,ne_humidity,ne_maxdewpti,ne_maxhumidity,ne_maxpressurei,ne_maxtempi,ne_maxwspdi,ne_meandewpti,ne_meantempi,ne_meanwdird,ne_meanwdire,ne_meanwindspdi,ne_mindewpti,ne_minhumidity,ne_minpressurei,ne_mintempi,ne_precipi,nw_humidity,nw_maxdewpti,nw_maxhumidity,nw_maxpressurei,nw_maxtempi,nw_maxwspdi,nw_meandewpti,nw_meantempi,nw_meanwdird,nw_meanwdire,nw_meanwindspdi,nw_mindewpti,nw_minhumidity,nw_minpressurei,nw_mintempi,nw_precipi
1-Mar-18,79.5,66.3,84,30,29.91,,SW,9.8,67,0.01,54,73.8,83,-999.9,81,27.5,55.4,75.6,,SW,7.7,37.6,24,-999.9,70.2,0.05,79,69.7,95,29.99,82.5,14,66.5,73.4,,SSW,2.6,62,57,29.89,64.4,0,80,71.5,94,30.02,83.4,13,65.7,72.9,,SW,2.1,60.1,61,29.89,62.4,0,85,72,98,30.3,82.8,18,67.2,72.4,,SW,4.4,60,66,30.18,62.1,0
2-Mar-18,76.2,59.5,49,30.1,29.97,,NNW,5.9,44.1,0,24,50.2,44,-999.9,77.2,16.8,26.8,66.3,,North,4.5,15.8,10,-999.9,55.4,0,56,70,91,30.08,80.9,8,48.3,66.8,,NW,0.4,32.9,19,29.94,52.8,0,57,61.9,86,30.14,76.6,9,47.6,64.4,,NW,1.9,34.7,22,30,52.2,0,56,61,90,30.47,79,11,45.2,61.7,,NNW,3,33,20,30.29,44.4,0
3-Mar-18,68.6,47.4,34,30.17,30.05,,North,7.6,28.9,0,21,28.8,24,-999.9,72.1,19.9,16.9,57.8,,NNE,4.6,7,14,-999.9,43.5,0,47,40.1,74,30.14,70.1,8,35.2,56.2,,North,0.5,30.6,24,30.02,42.4,0,49,40.4,88,30.23,70.4,11,33.7,55.5,,North,1.7,26.6,20,30.09,40.5,0,48,39,88,30.51,72.8,10,31.5,55.6,,North,2.2,26,19,30.34,38.4,0
4-Mar-18,66.7,47,38,30.15,30.06,,NNE,8.7,30,0,25,28.2,45,-999.9,70.2,19.2,17.8,52.9,,NE,3.7,8.8,16,-999.9,35.6,0,62,42.2,91,30.12,67.5,8,36.1,51.5,,North,0.6,32.7,29,30.05,35.6,0,66,41.2,93,30.22,66.7,9,35.8,51,,NNE,1.3,30.6,31,30.12,35.4,0,54,33,93,30.5,71.8,10,28.5,51.3,,NNE,1.9,23,17,30.35,30.8,0
5-Mar-18,71.5,49.4,48,30.12,29.98,,ESE,3.9,36.2,0,29,28,66,-999.9,72.5,17.5,18.9,54,,WSW,1.2,9,12,-999.9,35.4,0,71,51.4,98,30.1,74,6,41.6,53.2,,South,0.2,31.1,27,29.96,32.4,0,68,48.1,95,30.17,71.7,5,39.3,53.3,,North,0.6,32.7,25,30.03,35,0,58,43,93,30.47,73.8,7,32.5,52.5,,North,1.1,28,20,30.28,31.1,0
6-Mar-18,74.2,50.9,67,30.01,29.81,,SW,6.9,50.8,0.08,38,50.2,66,-999.9,72.7,20.1,29.8,55.5,,SSW,6.7,13.6,15,-999.9,38.3,0.01,68,60.8,98,30,78.5,14,49.1,60.7,,SSW,2.1,37.6,26,29.81,42.8,0,75,61.6,95,30.06,77.1,8,49.7,58.8,,SSW,1.6,38.5,38,29.84,40.6,0,77,63,95,30.35,76.8,12,49.4,56.2,,SSW,3.2,33,49,30.12,35.5,0
7-Mar-18,67.5,51.7,53,29.99,29.79,,West,6.3,40.4,0.15,27,52,55,-999.9,68.7,23.3,25.5,58.7,,West,7.4,12,16,-999.9,48.7,0.04,53,63.7,93,29.97,71.9,13,43.1,61,,WSW,2.4,26.9,19,29.77,50.1,0,59,62.3,91,30.02,68.5,10,42.7,56.7,,West,1.7,30,25,29.82,44.9,0.11,56,63,96,30.34,69.8,13,39.4,54.8,,WNW,2.8,27,22,30.12,39.7,0.09
8-Mar-18,58.6,40.3,50,30.09,29.96,,NW,6,30.8,0,24,19.6,39,-999.9,57,22.1,12.8,47.2,,West,4.5,7,18,-999.9,37.4,0,58,39.4,83,30.07,60.4,19,34.3,48.6,,WSW,2.3,28.4,31,29.94,36.8,0,63,37.8,89,30.12,59.6,10,33.2,47.3,,WNW,1.5,28.1,31,29.99,35.1,0,57,34,93,30.44,62.1,11,29.5,46.4,,WNW,2.6,24,27,30.26,30.7,0
9-Mar-18,65.5,41.8,42,30.17,30.06,,NW,4.4,29.2,0,33,26.8,67,-999.9,67.8,12.8,18.1,49.1,,North,2.7,8.4,15,-999.9,30.4,0,59,43.7,93,30.16,66.3,9,33.1,47.9,,SE,0.7,27.2,25,30.04,29.4,0,62,40.9,94,30.22,68,8,32.2,49,,NNW,0.9,24.9,21,30.1,29.9,0,57,38,93,30.51,69.8,7,28.6,47.8,,NNW,1.2,23,17,30.34,25.7,0
10-Mar-18,69.1,48.1,57,30.09,29.92,,SSE,3.9,44.5,0,,,,,,,,,,,,,,,,,69,55.9,95,30.09,71.3,11,44,51.3,,SE,1.1,29.5,37,29.91,31.3,0,72,53,94,30.16,70.6,5,42.4,51.3,,South,0.7,30,38,29.98,32.1,0,72,50,96,30.44,72.3,12,41,51.4,,South,1.7,28,39,30.26,30.5,0
11-Mar-18,77.8,56.6,73,29.93,29.74,,SW,4.3,56.8,0,,,,,,,,,,,,,,,,,77,65.8,96,29.91,79.4,8,57.9,65.2,,South,0.7,49.3,48,29.71,51,0,77,63.7,95,29.98,79.1,6,53.9,61.2,,SW,0.7,41.5,50,29.77,43.4,0.09,76,63,96,30.27,80.1,11,52.4,60.3,,SSW,2,39,50,30.02,40.5,0.02
